freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.938e+03,5.755e+01,7.028e+01,4.065e+03
1.6,2.281e+04,2.013e+02,2.358e+02,2.324e+04
3.2,7.809e+03,2.477e+02,2.666e+02,8.323e+03
4.7,3.398e+03,2.568e+02,2.640e+02,3.919e+03
6.3,2.658e+03,2.827e+02,2.702e+02,3.211e+03
7.9,2.701e+03,2.694e+02,2.668e+02,3.237e+03
9.5,3.239e+03,2.537e+02,2.709e+02,3.764e+03
11.0,4.030e+03,2.614e+02,2.852e+02,4.577e+03
12.6,4.954e+03,2.640e+02,2.813e+02,5.500e+03
14.2,6.139e+03,2.677e+02,2.713e+02,6.678e+03
15.8,8.041e+03,2.614e+02,3.050e+02,8.607e+03
17.3,9.939e+03,2.761e+02,2.970e+02,1.051e+04
18.9,1.274e+04,2.731e+02,3.289e+02,1.335e+04
20.5,1.711e+04,2.714e+02,3.854e+02,1.777e+04
22.1,2.267e+04,2.712e+02,4.962e+02,2.344e+04
23.7,2.879e+04,2.871e+02,6.662e+02,2.975e+04
25.2,3.147e+04,3.323e+02,9.164e+02,3.272e+04
26.8,3.441e+04,3.334e+02,1.225e+03,3.597e+04
28.4,4.190e+04,3.405e+02,1.756e+03,4.400e+04
30.0,5.394e+04,3.947e+02,3.298e+03,5.764e+04
31.5,7.122e+04,5.788e+02,8.041e+03,7.984e+04
33.1,9.540e+04,9.878e+02,1.908e+04,1.155e+05
34.7,1.226e+05,1.292e+03,3.279e+04,1.567e+05
36.3,1.624e+05,1.081e+03,3.393e+04,1.974e+05
37.8,2.495e+05,8.114e+02,2.630e+04,2.766e+05
39.4,4.395e+05,6.496e+02,2.172e+04,4.618e+05
41.0,7.108e+05,5.182e+02,1.733e+04,7.286e+05
42.6,8.046e+05,4.676e+02,1.236e+04,8.174e+05
44.2,7.576e+05,7.282e+02,9.531e+03,7.679e+05
45.7,7.323e+05,1.333e+03,1.073e+04,7.444e+05
47.3,7.498e+05,2.712e+03,1.451e+04,7.670e+05
48.9,8.428e+05,5.002e+03,1.890e+04,8.667e+05
50.5,9.715e+05,8.739e+03,2.663e+04,1.007e+06
52.0,1.054e+06,1.293e+04,3.257e+04,1.100e+06
53.6,9.734e+05,1.399e+04,3.004e+04,1.017e+06
55.2,8.272e+05,1.319e+04,2.667e+04,8.671e+05
56.8,6.993e+05,1.326e+04,2.585e+04,7.384e+05
58.3,5.549e+05,1.268e+04,2.387e+04,5.915e+05
59.9,4.297e+05,1.131e+04,2.028e+04,4.613e+05
61.5,3.587e+05,8.863e+03,1.679e+04,3.844e+05
63.1,3.147e+05,5.913e+03,1.392e+04,3.345e+05
64.6,3.229e+05,4.006e+03,1.192e+04,3.388e+05
66.2,4.627e+05,4.131e+03,1.009e+04,4.769e+05
67.8,6.708e+05,6.091e+03,8.677e+03,6.856e+05
69.4,8.014e+05,8.559e+03,7.602e+03,8.175e+05
71.0,8.217e+05,1.040e+04,6.860e+03,8.390e+05
72.5,8.253e+05,1.268e+04,6.540e+03,8.446e+05
74.1,8.197e+05,1.568e+04,6.729e+03,8.421e+05
75.7,7.745e+05,1.782e+04,6.814e+03,7.991e+05
77.3,7.484e+05,1.932e+04,7.078e+03,7.748e+05
78.8,7.495e+05,2.230e+04,8.137e+03,7.800e+05
80.4,7.429e+05,2.632e+04,9.560e+03,7.788e+05
82.0,7.382e+05,3.110e+04,1.096e+04,7.803e+05
83.6,7.559e+05,3.779e+04,1.232e+04,8.061e+05
85.1,7.853e+05,4.872e+04,1.401e+04,8.480e+05
86.7,7.946e+05,6.109e+04,1.566e+04,8.714e+05
88.3,7.862e+05,7.107e+04,1.603e+04,8.733e+05
89.9,7.713e+05,7.590e+04,1.607e+04,8.633e+05
91.5,7.447e+05,7.640e+04,1.511e+04,8.362e+05
93.0,7.500e+05,8.018e+04,1.322e+04,8.434e+05
94.6,7.716e+05,8.791e+04,1.166e+04,8.711e+05
96.2,7.756e+05,1.022e+05,1.146e+04,8.892e+05
97.8,7.541e+05,1.146e+05,1.149e+04,8.801e+05
99.3,7.222e+05,1.241e+05,1.205e+04,8.583e+05
100.9,6.408e+05,1.219e+05,1.213e+04,7.748e+05
102.5,5.334e+05,1.112e+05,1.303e+04,6.576e+05
104.1,4.826e+05,1.045e+05,1.457e+04,6.016e+05
105.6,4.210e+05,9.267e+04,1.496e+04,5.286e+05
107.2,3.440e+05,7.195e+04,1.371e+04,4.297e+05
108.8,3.049e+05,6.206e+04,1.334e+04,3.803e+05
110.4,2.928e+05,5.529e+04,1.334e+04,3.614e+05
112.0,2.586e+05,4.908e+04,1.276e+04,3.204e+05
113.5,2.450e+05,4.468e+04,1.231e+04,3.020e+05
115.1,2.700e+05,4.561e+04,1.301e+04,3.286e+05
116.7,2.804e+05,4.028e+04,1.270e+04,3.334e+05
118.3,2.612e+05,3.821e+04,1.178e+04,3.112e+05
119.8,2.599e+05,3.649e+04,1.098e+04,3.073e+05
121.4,2.726e+05,3.708e+04,1.102e+04,3.207e+05
123.0,2.397e+05,3.580e+04,1.005e+04,2.855e+05
124.6,1.959e+05,3.308e+04,8.535e+03,2.375e+05
126.1,1.891e+05,2.971e+04,8.158e+03,2.270e+05
127.7,1.769e+05,2.713e+04,7.990e+03,2.120e+05
129.3,1.263e+05,2.369e+04,6.229e+03,1.562e+05
130.9,1.147e+05,2.083e+04,5.258e+03,1.408e+05
132.5,1.148e+05,1.840e+04,4.973e+03,1.382e+05
134.0,8.266e+04,1.594e+04,3.615e+03,1.022e+05
135.6,3.078e+04,1.103e+04,2.039e+03,4.385e+04
137.2,2.497e+04,9.121e+03,1.470e+03,3.556e+04
138.8,3.392e+04,8.236e+03,1.463e+03,4.362e+04
140.3,3.232e+04,6.702e+03,1.191e+03,4.021e+04
141.9,3.316e+04,6.283e+03,1.185e+03,4.063e+04
143.5,4.026e+04,4.707e+03,1.074e+03,4.604e+04
145.1,4.661e+04,5.155e+03,1.317e+03,5.308e+04
146.6,4.425e+04,4.335e+03,1.212e+03,4.980e+04
148.2,4.005e+04,4.284e+03,1.129e+03,4.546e+04
149.8,4.325e+04,3.821e+03,1.216e+03,4.829e+04
151.4,4.521e+04,3.729e+03,1.090e+03,5.003e+04
153.0,4.572e+04,3.407e+03,1.120e+03,5.025e+04
154.5,5.085e+04,3.110e+03,9.948e+02,5.495e+04
156.1,4.489e+04,3.153e+03,8.965e+02,4.894e+04
157.7,5.509e+04,2.927e+03,9.159e+02,5.894e+04
159.3,4.734e+04,2.826e+03,8.300e+02,5.100e+04
160.8,3.991e+04,2.738e+03,7.227e+02,4.337e+04
162.4,4.021e+04,2.544e+03,7.728e+02,4.353e+04
164.0,3.535e+04,2.553e+03,6.524e+02,3.855e+04
165.6,5.622e+04,2.689e+03,8.051e+02,5.972e+04
167.1,4.985e+04,2.933e+03,7.386e+02,5.352e+04
168.7,5.916e+04,2.752e+03,7.130e+02,6.262e+04
170.3,5.448e+04,2.449e+03,6.432e+02,5.757e+04
171.9,5.865e+04,2.570e+03,6.462e+02,6.186e+04
173.5,6.162e+04,2.287e+03,6.025e+02,6.451e+04
175.0,5.442e+04,1.921e+03,5.682e+02,5.691e+04
176.6,6.202e+04,2.041e+03,5.639e+02,6.462e+04
178.2,5.685e+04,1.891e+03,5.521e+02,5.929e+04
179.8,5.976e+04,1.749e+03,5.208e+02,6.203e+04
181.3,6.328e+04,1.865e+03,5.222e+02,6.567e+04
182.9,5.458e+04,1.794e+03,5.496e+02,5.693e+04
184.5,4.453e+04,1.381e+03,5.256e+02,4.643e+04
186.1,4.306e+04,1.399e+03,5.073e+02,4.496e+04
187.6,4.438e+04,1.455e+03,5.450e+02,4.638e+04
189.2,4.259e+04,1.347e+03,5.491e+02,4.448e+04
190.8,5.202e+04,1.447e+03,5.723e+02,5.404e+04
192.4,4.175e+04,1.469e+03,5.410e+02,4.376e+04
193.9,4.477e+04,1.317e+03,5.440e+02,4.663e+04
195.5,4.352e+04,1.277e+03,4.995e+02,4.529e+04
197.1,3.939e+04,1.195e+03,4.798e+02,4.106e+04
198.7,3.991e+04,1.013e+03,5.119e+02,4.144e+04
200.3,3.969e+04,9.807e+02,4.763e+02,4.114e+04
201.8,3.678e+04,9.761e+02,4.579e+02,3.822e+04
