freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.823e+01,4.761e+02,3.200e+03,3.734e+03
1.6,2.427e+02,5.040e+02,2.190e+04,2.265e+04
3.2,2.731e+02,3.404e+02,7.521e+03,8.135e+03
4.7,2.611e+02,3.598e+02,3.261e+03,3.882e+03
6.3,2.551e+02,3.436e+02,2.538e+03,3.137e+03
7.9,2.781e+02,2.992e+02,2.387e+03,2.964e+03
9.5,2.760e+02,2.923e+02,2.969e+03,3.537e+03
11.0,2.558e+02,2.819e+02,3.875e+03,4.413e+03
12.6,2.532e+02,2.756e+02,4.917e+03,5.446e+03
14.2,2.800e+02,3.067e+02,6.248e+03,6.834e+03
15.8,2.747e+02,3.723e+02,8.585e+03,9.232e+03
17.3,2.781e+02,4.332e+02,1.092e+04,1.164e+04
18.9,2.557e+02,5.363e+02,1.432e+04,1.511e+04
20.5,2.593e+02,7.682e+02,1.960e+04,2.063e+04
22.1,3.323e+02,1.117e+03,2.766e+04,2.911e+04
23.6,4.733e+02,1.914e+03,3.758e+04,3.996e+04
25.2,5.373e+02,3.524e+03,4.828e+04,5.234e+04
26.8,4.915e+02,5.147e+03,5.341e+04,5.905e+04
28.4,5.332e+02,5.213e+03,4.935e+04,5.510e+04
29.9,6.787e+02,5.031e+03,5.360e+04,5.931e+04
31.5,1.015e+03,6.938e+03,7.301e+04,8.097e+04
33.1,2.175e+03,1.548e+04,1.177e+05,1.354e+05
34.7,4.267e+03,6.528e+04,2.223e+05,2.919e+05
36.2,5.731e+03,2.076e+05,3.677e+05,5.810e+05
37.8,9.343e+03,3.639e+05,4.085e+05,7.817e+05
39.4,1.325e+04,4.301e+05,3.331e+05,7.765e+05
41.0,1.812e+04,4.276e+05,2.406e+05,6.863e+05
42.5,2.234e+04,4.296e+05,1.822e+05,6.341e+05
44.1,2.034e+04,4.919e+05,1.593e+05,6.716e+05
45.7,1.629e+04,5.631e+05,1.387e+05,7.180e+05
47.3,1.351e+04,5.707e+05,1.149e+05,6.991e+05
48.8,1.232e+04,5.344e+05,9.866e+04,6.453e+05
50.4,1.084e+04,4.959e+05,8.373e+04,5.905e+05
52.0,1.046e+04,4.634e+05,6.557e+04,5.395e+05
53.6,1.122e+04,4.679e+05,5.107e+04,5.302e+05
55.1,1.212e+04,5.623e+05,4.889e+04,6.233e+05
56.7,1.276e+04,6.753e+05,5.637e+04,7.444e+05
58.3,1.381e+04,7.190e+05,5.852e+04,7.913e+05
59.9,1.475e+04,7.215e+05,5.896e+04,7.952e+05
61.4,1.511e+04,7.035e+05,5.848e+04,7.771e+05
63.0,1.500e+04,6.560e+05,5.383e+04,7.248e+05
64.6,1.385e+04,5.873e+05,4.806e+04,6.492e+05
66.2,1.179e+04,4.876e+05,4.268e+04,5.420e+05
67.7,1.035e+04,3.800e+05,3.731e+04,4.276e+05
69.3,9.549e+03,2.926e+05,3.237e+04,3.345e+05
70.9,9.610e+03,2.203e+05,2.884e+04,2.587e+05
72.5,9.906e+03,1.645e+05,2.728e+04,2.017e+05
74.0,1.007e+04,1.233e+05,2.671e+04,1.601e+05
75.6,1.033e+04,9.540e+04,2.594e+04,1.317e+05
77.2,1.024e+04,7.408e+04,2.375e+04,1.081e+05
78.8,8.615e+03,6.014e+04,2.117e+04,8.993e+04
80.3,7.009e+03,5.197e+04,1.883e+04,7.782e+04
81.9,5.114e+03,4.702e+04,1.704e+04,6.917e+04
83.5,2.923e+03,4.263e+04,1.554e+04,6.110e+04
85.1,1.668e+03,3.955e+04,1.485e+04,5.606e+04
86.6,1.038e+03,3.761e+04,1.485e+04,5.350e+04
88.2,6.860e+02,3.368e+04,1.454e+04,4.891e+04
89.8,6.001e+02,2.959e+04,1.417e+04,4.436e+04
91.4,6.811e+02,2.724e+04,1.340e+04,4.132e+04
92.9,7.411e+02,2.521e+04,1.239e+04,3.834e+04
94.5,6.388e+02,2.256e+04,1.127e+04,3.447e+04
96.1,5.378e+02,2.074e+04,1.070e+04,3.198e+04
97.7,5.704e+02,1.998e+04,1.027e+04,3.082e+04
99.2,5.128e+02,1.821e+04,9.298e+03,2.802e+04
100.8,4.751e+02,1.686e+04,8.369e+03,2.570e+04
102.4,5.117e+02,1.706e+04,7.962e+03,2.553e+04
104.0,5.144e+02,1.727e+04,7.496e+03,2.528e+04
105.5,5.309e+02,1.677e+04,6.546e+03,2.384e+04
107.1,5.997e+02,1.879e+04,6.304e+03,2.570e+04
108.7,6.906e+02,1.995e+04,6.240e+03,2.688e+04
110.3,8.324e+02,1.964e+04,5.797e+03,2.627e+04
111.9,8.807e+02,2.097e+04,5.770e+03,2.762e+04
113.4,9.481e+02,2.164e+04,6.211e+03,2.880e+04
115.0,1.173e+03,2.314e+04,6.240e+03,3.055e+04
116.6,1.189e+03,2.170e+04,6.163e+03,2.905e+04
118.2,1.211e+03,2.094e+04,6.474e+03,2.863e+04
119.7,1.342e+03,2.104e+04,6.772e+03,2.916e+04
121.3,1.353e+03,1.815e+04,6.530e+03,2.604e+04
122.9,1.248e+03,1.510e+04,5.995e+03,2.235e+04
124.5,1.206e+03,1.388e+04,6.143e+03,2.123e+04
126.0,1.105e+03,1.200e+04,5.806e+03,1.891e+04
127.6,8.774e+02,8.688e+03,4.993e+03,1.456e+04
129.2,6.944e+02,7.166e+03,4.687e+03,1.255e+04
130.8,6.046e+02,5.836e+03,4.582e+03,1.102e+04
132.3,5.146e+02,4.066e+03,4.036e+03,8.616e+03
133.9,4.031e+02,2.557e+03,3.043e+03,6.003e+03
